Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
0,VCC-NET,VCC-C,44430,2019-12-01 18:38:07.242,2019-12-01 18:48:30.833,623.591
1,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-01 19:05:43.371,2019-12-01 19:19:37.317,833.946
2,VCC-NET,VCC-C,44430,2019-12-01 20:14:09.870,2019-12-01 20:25:10.291,660.421
3,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-01 20:42:35.800,2019-12-01 20:55:52.487,796.687
4,VCC-NET,VCC-B,44431,2019-12-02 00:01:44.514,2019-12-02 00:10:31.602,527.088
5,VCC-NET,VCC-C,44430,2019-12-02 01:07:14.034,2019-12-02 01:17:56.512,642.478
6,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-02 01:35:19.984,2019-12-02 01:49:14.992,835.008
7,VCC-NET,VCC-C,44430,2019-12-02 02:43:29.017,2019-12-02 02:54:47.806,678.789
8,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-02 03:11:48.088,2019-12-02 03:25:14.803,806.715
9,VCC-NET,VCC-C,44430,2019-12-02 17:46:30.585,2019-12-02 17:55:40.318,549.733
10,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-02 18:14:14.989,2019-12-02 18:27:21.267,786.278
11,VCC-NET,VCC-C,44430,2019-12-02 19:21:30.884,2019-12-02 19:32:47.698,676.814
12,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-02 19:50:17.350,2019-12-02 20:04:01.961,824.611
13,VCC-NET,VCC-C,44430,2019-12-02 20:59:17.006,2019-12-02 21:08:55.841,578.835
14,VCC-NET,VCC-C,44430,2019-12-03 00:14:49.498,2019-12-03 00:24:55.146,605.648
15,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-03 00:43:28.817,2019-12-03 00:56:56.633,807.816
16,VCC-NET,VCC-C,44430,2019-12-03 01:51:01.245,2019-12-03 02:02:29.145,687.9
17,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-03 02:19:45.734,2019-12-03 02:33:47.573,841.839
18,VCC-NET,VCC-C,44430,2019-12-03 03:28:02.057,2019-12-03 03:36:51.489,529.432
19,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-03 17:23:08.699,2019-12-03 17:35:03.438,714.739
20,VCC-NET,VCC-C,44430,2019-12-03 18:29:05.257,2019-12-03 18:40:21.407,676.15
21,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-03 18:58:09.824,2019-12-03 19:12:10.577,840.753
22,VCC-NET,VCC-C,44430,2019-12-03 20:06:12.799,2019-12-03 20:16:32.626,619.827
23,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-03 20:35:57.179,2019-12-03 20:48:21.372,744.193
24,VCC-NET,VCC-C,44430,2019-12-03 23:22:24.700,2019-12-03 23:31:19.144,534.444
25,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-03 23:51:34.939,2019-12-04 00:04:27.741,772.802
26,VCC-NET,VCC-C,44430,2019-12-04 00:58:36.123,2019-12-04 01:09:53.713,677.59
27,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-04 01:27:48.988,2019-12-04 01:42:01.143,852.155
28,VCC-NET,VCC-C,44430,2019-12-04 02:35:08.860,2019-12-04 02:45:33.677,624.817
29,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-04 03:04:51.130,2019-12-04 03:16:21.315,690.185
30,VCC-NET,VCC-C,44430,2019-12-04 17:36:55.839,2019-12-04 17:47:34.476,638.637
31,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-04 18:06:15.472,2019-12-04 18:20:16.114,840.642
32,VCC-NET,VCC-C,44430,2019-12-04 19:13:15.919,2019-12-04 19:24:07.568,651.649
33,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-04 19:43:24.823,2019-12-04 19:56:29.423,784.6
34,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-04 22:59:41.212,2019-12-04 23:11:51.400,730.188
35,VCC-NET,VCC-C,44430,2019-12-05 00:06:11.210,2019-12-05 00:17:03.854,652.644
36,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-05 00:35:54.954,2019-12-05 00:49:58.684,843.73
37,VCC-NET,VCC-C,44430,2019-12-05 01:42:28.764,2019-12-05 01:53:39.029,670.265
38,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-05 02:12:29.809,2019-12-05 02:25:35.387,785.578
39,VCC-NET,VCC-C,44430,2019-12-05 16:45:07.431,2019-12-05 16:54:45.805,578.374
40,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-05 17:14:36.998,2019-12-05 17:28:02.279,805.281
41,VCC-NET,VCC-C,44430,2019-12-05 18:20:29.253,2019-12-05 18:31:41.927,672.674
42,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-05 18:50:59.783,2019-12-05 19:04:36.049,816.266
43,VCC-NET,VCC-C,44430,2019-12-05 19:58:25.706,2019-12-05 20:07:51.683,565.977
44,VCC-NET,VCC-C,44430,2019-12-05 23:13:44.162,2019-12-05 23:24:01.947,617.785
45,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-05 23:44:01.328,2019-12-05 23:57:42.444,821.116
46,VCC-NET,VCC-C,44430,2019-12-06 00:49:55.740,2019-12-06 01:01:22.718,686.978
47,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-06 01:20:21.282,2019-12-06 01:34:14.455,833.173
48,VCC-NET,VCC-C,44430,2019-12-06 15:53:33.734,2019-12-06 16:02:05.795,512.061
49,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-06 16:23:18.907,2019-12-06 16:35:47.853,748.946
50,VCC-NET,VCC-C,44430,2019-12-06 17:27:55.208,2019-12-06 17:39:13.352,678.144
51,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-06 17:58:44.794,2019-12-06 18:12:42.680,837.886
52,VCC-NET,VCC-C,44430,2019-12-06 19:05:16.017,2019-12-06 19:15:23.576,607.559
53,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-06 19:36:44.249,2019-12-06 19:48:55.764,731.515
54,VCC-NET,VCC-C,44430,2019-12-06 22:21:17.500,2019-12-06 22:30:51.013,573.513
55,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-06 22:52:05.889,2019-12-06 23:05:14.658,788.769
56,VCC-NET,VCC-C,44430,2019-12-06 23:57:26.289,2019-12-07 00:08:48.664,682.375
57,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-07 00:28:19.844,2019-12-07 00:42:32.419,852.575
58,VCC-NET,VCC-C,44430,2019-12-07 01:34:06.108,2019-12-07 01:44:07.680,601.572
59,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-07 15:32:15.502,2019-12-07 15:43:42.880,687.378
60,VCC-NET,VCC-C,44430,2019-12-07 16:35:36.407,2019-12-07 16:46:39.306,662.899
61,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-07 17:06:42.138,2019-12-07 17:20:47.093,844.955
62,VCC-NET,VCC-C,44430,2019-12-07 18:12:12.559,2019-12-07 18:22:54.441,641.882
63,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-07 18:44:06.973,2019-12-07 18:56:59.738,772.765
64,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-07 22:00:11.332,2019-12-07 22:12:38.086,746.754
65,VCC-NET,VCC-C,44430,2019-12-07 23:04:57.809,2019-12-07 23:15:59.392,661.583
66,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-07 23:36:22.156,2019-12-07 23:50:33.247,851.091
67,VCC-NET,VCC-C,44430,2019-12-08 00:41:18.844,2019-12-08 00:52:17.746,658.902
68,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-08 01:13:05.476,2019-12-08 01:25:44.801,759.325
69,VCC-NET,VCC-C,44430,2019-12-08 15:43:36.783,2019-12-08 15:53:38.595,601.812
70,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-08 16:14:54.254,2019-12-08 16:28:46.950,832.696
71,VCC-NET,VCC-C,44430,2019-12-08 17:19:18.494,2019-12-08 17:30:25.499,667.005
72,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-08 17:51:35.772,2019-12-08 18:05:03.156,807.384
73,VCC-NET,VCC-C,44430,2019-12-08 18:57:24.030,2019-12-08 19:06:37.594,553.564
74,VCC-NET,VCC-C,44430,2019-12-08 22:12:27.973,2019-12-08 22:22:57.207,629.234
75,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-08 22:44:25.733,2019-12-08 22:58:19.433,833.7
76,VCC-NET,VCC-C,44430,2019-12-08 23:48:40.232,2019-12-09 00:00:04.092,683.86
77,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-09 00:20:49.989,2019-12-09 00:34:31.312,821.323
78,VCC-NET,VCC-C,44430,2019-12-09 14:51:55.951,2019-12-09 15:00:59.181,543.23
79,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-09 15:23:24.735,2019-12-09 15:36:22.470,777.735
80,VCC-NET,VCC-C,44430,2019-12-09 16:26:36.357,2019-12-09 16:37:54.362,678.005
81,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-09 16:59:13.672,2019-12-09 17:13:07.476,833.804
82,VCC-NET,VCC-C,44430,2019-12-09 18:04:09.295,2019-12-09 18:14:04.439,595.144
83,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-09 18:37:46.022,2019-12-09 18:49:23.874,697.852
84,VCC-NET,VCC-C,44430,2019-12-09 21:19:54.275,2019-12-09 21:29:44.887,590.612
85,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-09 21:52:28.373,2019-12-09 22:05:53.132,804.759
86,VCC-NET,VCC-C,44430,2019-12-09 22:56:06.190,2019-12-09 23:07:31.600,685.41
87,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-09 23:28:43.398,2019-12-09 23:42:54.187,850.789
88,VCC-NET,VCC-C,44430,2019-12-10 00:32:54.473,2019-12-10 00:42:28.115,573.642
89,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-10 14:32:14.696,2019-12-10 14:43:55.065,700.369
90,VCC-NET,VCC-C,44430,2019-12-10 15:34:08.621,2019-12-10 15:45:18.601,669.98
91,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-10 16:07:03.102,2019-12-10 16:21:10.422,847.32
92,VCC-NET,VCC-C,44430,2019-12-10 17:10:59.601,2019-12-10 17:21:30.958,631.357
93,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-10 17:44:42.013,2019-12-10 17:57:23.564,761.551
94,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-10 21:00:27.727,2019-12-10 21:13:16.864,769.137
95,VCC-NET,VCC-C,44430,2019-12-10 22:03:33.908,2019-12-10 22:14:43.090,669.182
96,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-10 22:36:41.697,2019-12-10 22:50:58.626,856.929
97,VCC-NET,VCC-C,44430,2019-12-10 23:39:59.345,2019-12-10 23:50:43.867,644.522
98,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-11 00:13:35.517,2019-12-11 00:25:32.196,716.679
99,VCC-NET,VCC-C,44430,2019-12-11 14:41:58.635,2019-12-11 14:52:19.141,620.506
100,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-11 15:15:06.357,2019-12-11 15:29:09.736,843.379
101,VCC-NET,VCC-C,44430,2019-12-11 16:17:58.440,2019-12-11 16:28:58.477,660.037
102,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-11 16:52:05.102,2019-12-11 17:05:23.403,798.301
103,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-11 20:08:26.783,2019-12-11 20:20:07.766,700.983
104,VCC-NET,VCC-C,44430,2019-12-11 21:11:01.001,2019-12-11 21:21:40.856,639.855
105,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-11 21:44:42.162,2019-12-11 21:58:47.499,845.337
106,VCC-NET,VCC-C,44430,2019-12-11 22:47:14.764,2019-12-11 22:58:33.251,678.487
107,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-11 23:21:12.059,2019-12-11 23:34:37.891,805.832
108,VCC-NET,VCC-C,44430,2019-12-12 13:50:11.228,2019-12-12 13:59:16.344,545.116
109,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-12 14:23:26.441,2019-12-12 14:36:47.890,801.449
110,VCC-NET,VCC-C,44430,2019-12-12 15:25:08.501,2019-12-12 15:36:24.532,676.031
111,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-12 15:59:36.272,2019-12-12 16:13:25.090,828.818
112,VCC-NET,VCC-C,44430,2019-12-12 17:02:52.450,2019-12-12 17:12:31.529,579.079
113,VCC-NET,VCC-C,44430,2019-12-12 20:18:25.042,2019-12-12 20:28:27.484,602.442
114,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-12 20:52:42.520,2019-12-12 21:06:23.021,820.501
115,VCC-NET,VCC-C,44430,2019-12-12 21:54:35.864,2019-12-12 22:06:02.517,686.653
116,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-12 22:28:59.771,2019-12-12 22:43:06.339,846.568
117,VCC-NET,VCC-C,44430,2019-12-12 23:31:34.203,2019-12-12 23:40:26.831,532.628
118,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-13 13:32:08.754,2019-12-13 13:44:24.665,735.911
119,VCC-NET,VCC-C,44430,2019-12-13 14:32:32.211,2019-12-13 14:43:46.729,674.518
120,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-13 15:07:18.134,2019-12-13 15:21:26.242,848.108
121,VCC-NET,VCC-C,44430,2019-12-13 16:09:36.890,2019-12-13 16:19:57.171,620.281
122,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-13 16:45:09.690,2019-12-13 16:57:37.156,747.466
123,VCC-NET,VCC-C,44430,2019-12-13 19:25:48.632,2019-12-13 19:34:39.822,531.19
124,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-13 20:00:40.503,2019-12-13 20:13:47.517,787.014
125,VCC-NET,VCC-C,44430,2019-12-13 21:01:59.541,2019-12-13 21:13:14.912,675.371
126,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-13 21:36:53.679,2019-12-13 21:51:14.742,861.063
127,VCC-NET,VCC-C,44430,2019-12-13 22:38:30.360,2019-12-13 22:48:57.263,626.903
128,VCC-NET,VCC-A,44428,2019-12-13 23:14:00.493,2019-12-13 23:22:38.613,518.12
129,VCC-NET,VCC-C,44430,2019-12-14 13:40:12.530,2019-12-14 13:50:47.775,635.245
130,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-14 14:15:12.983,2019-12-14 14:29:24.626,851.643
131,VCC-NET,VCC-C,44430,2019-12-14 15:16:28.925,2019-12-14 15:27:20.914,651.989
132,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-14 15:52:27.558,2019-12-14 16:05:36.907,789.349
133,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-14 19:08:38.810,2019-12-14 19:21:03.976,745.166
134,VCC-NET,VCC-C,44430,2019-12-14 20:09:23.322,2019-12-14 20:20:12.821,649.499
135,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-14 20:44:50.706,2019-12-14 20:59:06.585,855.879
136,VCC-NET,VCC-C,44430,2019-12-14 21:45:39.388,2019-12-14 21:56:50.146,670.758
137,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-14 22:21:27.732,2019-12-14 22:34:33.829,786.097
138,VCC-NET,VCC-C,44430,2019-12-15 12:48:14.553,2019-12-15 12:57:46.704,572.151
139,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-15 13:23:23.437,2019-12-15 13:37:17.770,834.333
140,VCC-NET,VCC-C,44430,2019-12-15 14:23:31.460,2019-12-15 14:34:43.920,672.46
141,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-15 14:59:52.381,2019-12-15 15:13:35.627,823.246
142,VCC-NET,VCC-C,44430,2019-12-15 16:01:25.296,2019-12-15 16:10:52.278,566.982
143,VCC-NET,VCC-C,44430,2019-12-15 19:16:44.813,2019-12-15 19:26:58.687,613.874
144,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-15 19:52:48.456,2019-12-15 20:06:44.217,835.761
145,VCC-NET,VCC-C,44430,2019-12-15 20:52:55.347,2019-12-15 21:04:21.392,686.045
146,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-15 21:29:09.088,2019-12-15 21:43:08.731,839.643
147,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-16 12:31:53.700,2019-12-16 12:44:44.115,770.415
148,VCC-NET,VCC-C,44430,2019-12-16 13:30:46.942,2019-12-16 13:42:03.802,676.86
149,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-16 14:07:27.030,2019-12-16 14:21:34.672,847.642
150,VCC-NET,VCC-C,44430,2019-12-16 15:08:04.255,2019-12-16 15:18:13.119,608.864
151,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-16 15:45:29.749,2019-12-16 15:57:48.147,738.398
152,VCC-NET,VCC-C,44430,2019-12-16 18:24:06.458,2019-12-16 18:33:35.647,569.189
153,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-16 19:00:44.699,2019-12-16 19:14:09.872,805.173
154,VCC-NET,VCC-C,44430,2019-12-16 20:00:14.754,2019-12-16 20:11:34.853,680.099
155,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-16 20:36:58.199,2019-12-16 20:51:21.522,863.323
156,VCC-NET,VCC-C,44430,2019-12-16 21:36:51.994,2019-12-16 21:46:57.767,605.773
157,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-17 11:40:40.436,2019-12-17 11:52:32.892,712.456
158,VCC-NET,VCC-C,44430,2019-12-17 12:38:18.089,2019-12-17 12:49:17.941,659.852
159,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-17 13:15:13.861,2019-12-17 13:29:31.772,857.911
160,VCC-NET,VCC-C,44430,2019-12-17 14:14:49.785,2019-12-17 14:25:32.858,643.073
161,VCC-NET,VCC-A/VCC-B,44428/44431,2019-12-17 14:52:42.936,2019-12-17 15:05:43.780,780.844
